protein,cancer_outcome,method,n_instruments,beta,se,pvalue,OR,OR_95CI_lower,OR_95CI_upper,FDR,F_stat,is_primary_estimate
SNX15,Breast_GCST90018757,Wald ratio,1,-0.0866,0.0109,1.51e-15,0.9171,0.8978,0.9368,7.610400000000001e-13,36.9,True
EFNA1,Breast_GCST90018757,Wald ratio,1,0.1272,0.0169,6.07e-14,1.1357,1.0986,1.174,1.21968e-11,41.5,True
FGF5,Breast_GCST90018757,Wald ratio,1,-0.0413,0.0055,7.26e-14,0.9596,0.9492,0.97,1.21968e-11,152.1,True
UMOD,Breast_GCST90018757,Wald ratio,1,0.0242,0.0048,5.17e-07,1.0245,1.0149,1.0343,6.5142e-05,247.9,True
SWAP70,Breast_GCST90018757,Wald ratio,1,0.0434,0.0099,1.13e-05,1.0443,1.0243,1.0647,0.00113904,33.5,True
ATRAID,Breast_GCST90018757,Wald ratio,1,-0.0449,0.0105,1.88e-05,0.9561,0.9367,0.976,0.0015792,37.2,True
TNFRSF6B,Breast_GCST90018757,Wald ratio,1,0.0352,0.0083,2.37e-05,1.0359,1.0191,1.0529,0.0017064,52.5,True
ITIH3,Breast_GCST90018757,Wald ratio,1,-0.0416,0.0103,5.47e-05,0.9592,0.9401,0.9788,0.0030632000000000003,37.2,True
KLB,Breast_GCST90018757,Inverse variance weighted,2,0.0144,0.0036,4.93e-05,1.0145,1.0075,1.0216,0.0030632000000000003,198.0,True
PM20D1,Breast_GCST90018757,Inverse variance weighted,2,0.0126,0.0032,8.79e-05,1.0126,1.0063,1.019,0.00443016,185.7,True
TSPAN8,Breast_GCST90018757,Wald ratio,1,-0.0348,0.0091,0.000123,0.9658,0.9488,0.9831,0.005635636363636364,50.1,True
FGFR4,Breast_GCST90018757,Wald ratio,1,-0.0122,0.0034,0.000364,0.9879,0.9812,0.9945,0.015288000000000001,531.0,True
IL34,Breast_GCST90018757,Inverse variance weighted,2,0.0238,0.0067,0.000397,1.0241,1.0107,1.0377,0.015391384615384614,94.8,True
APOE,Breast_GCST90018757,Wald ratio,1,0.0173,0.005,0.000568,1.0175,1.0075,1.0276,0.020448,321.0,True
CGREF1,Breast_GCST90018757,Wald ratio,1,0.0265,0.0078,0.000747,1.0268,1.0111,1.0427,0.025099200000000002,112.9,True
INHBB,Breast_GCST90018757,Wald ratio,1,0.0253,0.0076,0.000917,1.0256,1.0104,1.0411,0.028885499999999998,68.3,True
SERPINA11,Breast_GCST90018757,Inverse variance weighted,2,-0.0206,0.0068,0.00253,0.9796,0.9666,0.9928,0.07500705882352941,79.6,True
TXNDC15,Breast_GCST90018757,Inverse variance weighted,2,0.0071,0.0024,0.00316,1.0072,1.0024,1.012,0.08848,361.0,True
CTSF,Breast_GCST90018757,Inverse variance weighted,2,0.0124,0.0043,0.00371,1.0125,1.004,1.021,0.09841263157894738,55.4,True
INHBC,Breast_GCST90018757,Wald ratio,1,0.0247,0.0088,0.00474,1.025,1.0076,1.0428,0.119448,151.9,True
LAIR2,Breast_GCST90018757,Inverse variance weighted,3,0.0091,0.0033,0.00514,1.0092,1.0027,1.0157,0.12336,71.8,True
ADAM8,Breast_GCST90018757,Wald ratio,1,-0.0207,0.0076,0.00634,0.9795,0.965,0.9942,0.13892869565217392,74.2,True
MIA,Breast_GCST90018757,Wald ratio,1,0.0098,0.0036,0.00621,1.0098,1.0028,1.017,0.13892869565217392,383.8,True
LAIR2,Breast_GCST90018757,Weighted median,3,0.0095,0.0036,0.0082,1.0095,1.0025,1.0166,,71.8,False
CLEC10A,Breast_GCST90018757,Wald ratio,1,0.0207,0.008,0.00973,1.0209,1.005,1.0371,0.1886123076923077,64.1,True
FCRLB,Breast_GCST90018757,Wald ratio,1,0.029,0.0112,0.00949,1.0294,1.0071,1.0521,0.1886123076923077,47.6,True
GRIK2,Breast_GCST90018757,Wald ratio,1,-0.011,0.0042,0.00915,0.9891,0.9809,0.9973,0.1886123076923077,66.4,True
MST1,Breast_GCST90018757,Wald ratio,1,0.0224,0.0088,0.0105,1.0227,1.0053,1.0404,0.19600000000000004,471.7,True
PDE5A,Breast_GCST90018757,Wald ratio,1,0.0258,0.0102,0.0114,1.0262,1.0058,1.0469,0.20520000000000002,37.4,True
CD2AP,Breast_GCST90018757,Wald ratio,1,0.0205,0.0082,0.0126,1.0207,1.0044,1.0373,0.2189793103448276,93.1,True
CLEC6A,Breast_GCST90018757,Wald ratio,1,0.0617,0.025,0.0138,1.0636,1.0127,1.1171,0.22923870967741936,113.0,True
LRRC37A2,Breast_GCST90018757,Inverse variance weighted,2,0.0121,0.0049,0.0141,1.0122,1.0024,1.022,0.22923870967741936,285.8,True
PRTG,Breast_GCST90018757,Wald ratio,1,-0.0179,0.0074,0.0153,0.9823,0.9682,0.9966,0.23367272727272725,74.6,True
SIGLEC9,Breast_GCST90018757,Inverse variance weighted,2,0.0091,0.0037,0.0151,1.0091,1.0018,1.0165,0.23367272727272725,168.9,True
ASAH1,Breast_GCST90018757,Wald ratio,1,-0.0165,0.0068,0.0158,0.9836,0.9705,0.9969,0.23421176470588237,91.4,True
PON1,Breast_GCST90018757,Inverse variance weighted,2,0.0111,0.0046,0.0166,1.0112,1.002,1.0204,0.23904,239.2,True
OXT,Breast_GCST90018757,Wald ratio,1,-0.0131,0.0055,0.0172,0.987,0.9764,0.9977,0.2408,132.5,True
COMT,Breast_GCST90018757,Inverse variance weighted,2,-0.0111,0.0047,0.0186,0.989,0.9799,0.9982,0.2533621621621622,77.2,True
ULBP2,Breast_GCST90018757,Inverse variance weighted,3,-0.0084,0.0036,0.0198,0.9916,0.9846,0.9987,0.26261052631578946,87.3,True
LY9,Breast_GCST90018757,Wald ratio,1,0.0182,0.008,0.0225,1.0183,1.0026,1.0344,0.2907692307692308,58.3,True
ULBP2,Breast_GCST90018757,Weighted median,3,-0.0074,0.0032,0.0221,0.9926,0.9864,0.9989,,87.3,False
GPIHBP1,Breast_GCST90018757,Wald ratio,1,0.0229,0.0104,0.0279,1.0232,1.0025,1.0443,0.3454243902439024,42.5,True
IMPA1,Breast_GCST90018757,Wald ratio,1,0.0249,0.0114,0.0281,1.0252,1.0027,1.0483,0.3454243902439024,38.3,True
NPTX1,Breast_GCST90018757,Wald ratio,1,0.0614,0.0287,0.0323,1.0633,1.0052,1.1248,0.3876,39.3,True
FCAMR,Breast_GCST90018757,Wald ratio,1,0.0162,0.0076,0.0337,1.0163,1.0013,1.0316,0.3949953488372093,58.6,True
ART3,Breast_GCST90018757,Wald ratio,1,-0.0178,0.0085,0.0348,0.9823,0.9662,0.9987,0.39861818181818176,49.1,True
CST5,Breast_GCST90018757,Inverse variance weighted,2,0.0069,0.0033,0.0369,1.0069,1.0004,1.0135,0.41328,152.3,True
CDH15,Breast_GCST90018757,Wald ratio,1,-0.009,0.0044,0.0398,0.991,0.9825,0.9996,0.4360695652173913,252.3,True
SORCS2,Breast_GCST90018757,Wald ratio,1,0.014,0.0069,0.0409,1.0141,1.0006,1.0278,0.4385872340425532,127.6,True
CD38,Breast_GCST90018757,Inverse variance weighted,2,-0.0249,0.0123,0.0431,0.9754,0.9521,0.9992,0.44845714285714283,49.6,True
PCDH12,Breast_GCST90018757,Wald ratio,1,-0.0337,0.0167,0.0436,0.9668,0.9356,0.999,0.44845714285714283,31.3,True
PRSS53,Breast_GCST90018757,Inverse variance weighted,4,-0.0081,0.0041,0.0475,0.9919,0.984,0.9999,0.4759999999999999,103.8,True
ICAM3,Breast_GCST90018757,Wald ratio,1,-0.0353,0.0181,0.0507,0.9653,0.9316,1.0001,0.4759999999999999,34.8,True
KLK10,Breast_GCST90018757,Inverse variance weighted,2,-0.0076,0.0039,0.0499,0.9924,0.9848,1.0,0.4759999999999999,160.6,True
SUSD5,Breast_GCST90018757,Inverse variance weighted,2,-0.0115,0.0059,0.051,0.9886,0.9773,1.0,0.4759999999999999,67.9,True
OGN,Breast_GCST90018757,Inverse variance weighted,2,-0.0182,0.0093,0.0505,0.982,0.9643,1.0,0.4759999999999999,85.2,True
VEGFA,Breast_GCST90018757,Wald ratio,1,-0.015,0.0078,0.0537,0.9851,0.9701,1.0002,0.4920872727272727,77.1,True
GPC5,Breast_GCST90018757,Wald ratio,1,-0.015,0.0083,0.0711,0.9851,0.9693,1.0013,0.5891016393442623,56.2,True
PRSS53,Breast_GCST90018757,Weighted median,4,-0.0082,0.0045,0.0684,0.9918,0.9831,1.0006,,103.8,False
SGSH,Breast_GCST90018757,Wald ratio,1,-0.0082,0.0046,0.0713,0.9918,0.983,1.0007,0.5891016393442623,303.9,True
PGD,Breast_GCST90018757,Wald ratio,1,-0.0126,0.0069,0.0699,0.9875,0.9742,1.001,0.5891016393442623,46.1,True
TGOLN2,Breast_GCST90018757,Wald ratio,1,-0.0135,0.0074,0.0684,0.9865,0.9723,1.001,0.5891016393442623,176.9,True
ITGA2,Breast_GCST90018757,Inverse variance weighted,2,0.0072,0.004,0.0704,1.0072,0.9994,1.0151,0.5891016393442623,155.5,True
PXDNL,Breast_GCST90018757,Wald ratio,1,0.0212,0.0116,0.0685,1.0215,0.9984,1.045,0.5891016393442623,65.5,True
CD300E,Breast_GCST90018757,Inverse variance weighted,2,0.0109,0.0061,0.0744,1.011,0.9989,1.0232,0.6048,72.2,True
SIRPA,Breast_GCST90018757,Wald ratio,1,-0.0057,0.0032,0.0759,0.9943,0.9881,1.0006,0.6072,1156.4,True
BLMH,Breast_GCST90018757,Wald ratio,1,-0.0104,0.0059,0.0794,0.9897,0.9783,1.0012,0.6156553846153846,190.1,True
XCL1,Breast_GCST90018757,Wald ratio,1,0.0074,0.0042,0.0794,1.0074,0.9991,1.0157,0.6156553846153846,218.1,True
MSMB,Breast_GCST90018757,Inverse variance weighted,2,0.0047,0.0027,0.0813,1.0047,0.9994,1.01,0.6190925373134328,398.7,True
ZP3,Breast_GCST90018757,Inverse variance weighted,2,0.0045,0.0026,0.0823,1.0045,0.9994,1.0097,0.6190925373134328,585.6,True
CCL15,Breast_GCST90018757,Wald ratio,1,-0.0044,0.0025,0.0853,0.9957,0.9907,1.0006,0.6322235294117647,397.9,True
WASHC3,Breast_GCST90018757,Wald ratio,1,0.013,0.0076,0.0884,1.013,0.9981,1.0283,0.63648,59.3,True
VMO1,Breast_GCST90018757,Wald ratio,1,0.0091,0.0053,0.088,1.0092,0.9986,1.0198,0.63648,285.6,True
CD40,Breast_GCST90018757,Wald ratio,1,-0.0068,0.004,0.0898,0.9933,0.9855,1.0011,0.6374535211267606,124.1,True
PBLD,Breast_GCST90018757,Wald ratio,1,0.012,0.0073,0.101,1.012,0.9977,1.0266,0.69216,74.8,True
MMP12,Breast_GCST90018757,Wald ratio,1,0.0221,0.0134,0.0994,1.0224,0.9958,1.0496,0.69216,163.2,True
LGALS8,Breast_GCST90018757,Inverse variance weighted,2,0.0054,0.0033,0.103,1.0054,0.9989,1.0119,0.69216,254.3,True
GGT1,Breast_GCST90018757,Wald ratio,1,-0.0177,0.0108,0.102,0.9825,0.9619,1.0035,0.69216,34.8,True
CXCL5,Breast_GCST90018757,Wald ratio,1,-0.0385,0.0237,0.105,0.9622,0.9185,1.008,0.6963157894736841,37.0,True
KDR,Breast_GCST90018757,Wald ratio,1,-0.0999,0.062,0.107,0.9049,0.8014,1.0218,0.7003636363636363,39.5,True
PTPRH,Breast_GCST90018757,Wald ratio,1,-0.0067,0.0042,0.112,0.9933,0.9852,1.0015,0.7121739130434782,127.2,True
GFRA2,Breast_GCST90018757,Inverse variance weighted,2,-0.0105,0.0066,0.112,0.9896,0.9769,1.0024,0.7121739130434782,47.5,True
ASAH2,Breast_GCST90018757,Wald ratio,1,-0.0089,0.0057,0.121,0.9911,0.98,1.0024,0.7121739130434782,98.5,True
SFTPD,Breast_GCST90018757,Wald ratio,1,-0.0079,0.0052,0.127,0.9922,0.9822,1.0022,0.7121739130434782,192.8,True
SCN4B,Breast_GCST90018757,Inverse variance weighted,2,-0.0068,0.0045,0.13,0.9932,0.9844,1.002,0.7121739130434782,142.9,True
RGMA,Breast_GCST90018757,Wald ratio,1,0.0242,0.0157,0.124,1.0245,0.9934,1.0566,0.7121739130434782,44.5,True
ICAM1,Breast_GCST90018757,Wald ratio,1,-0.0163,0.0104,0.117,0.9838,0.9639,1.0041,0.7121739130434782,44.6,True
GALNT2,Breast_GCST90018757,Wald ratio,1,0.0146,0.0097,0.132,1.0147,0.9956,1.0341,0.7153548387096775,41.4,True
TACSTD2,Breast_GCST90018757,Wald ratio,1,0.0099,0.0063,0.12,1.0099,0.9974,1.0225,0.7121739130434782,164.8,True
BPIFB1,Breast_GCST90018757,Inverse variance weighted,2,-0.0104,0.0069,0.13,0.9896,0.9764,1.0031,0.7121739130434782,63.7,True
TYMP,Breast_GCST90018757,Wald ratio,1,0.0128,0.0083,0.122,1.0129,0.9966,1.0295,0.7121739130434782,68.0,True
CD80,Breast_GCST90018757,Wald ratio,1,-0.0101,0.0067,0.129,0.9899,0.9771,1.003,0.7121739130434782,62.8,True
TFRC,Breast_GCST90018757,Wald ratio,1,-0.0228,0.0145,0.117,0.9775,0.95,1.0057,0.7121739130434782,55.6,True
TDGF1,Breast_GCST90018757,Wald ratio,1,-0.0072,0.0047,0.13,0.9929,0.9837,1.0021,0.7121739130434782,908.2,True
GNPDA2,Breast_GCST90018757,Inverse variance weighted,2,-0.0043,0.0028,0.123,0.9957,0.9902,1.0012,0.7121739130434782,124.3,True
COL28A1,Breast_GCST90018757,Inverse variance weighted,2,-0.005,0.0032,0.118,0.9951,0.9889,1.0013,0.7121739130434782,252.0,True
FNDC1,Breast_GCST90018757,Wald ratio,1,0.0412,0.0275,0.134,1.042,0.9874,1.0997,0.718468085106383,50.1,True
MEGF10,Breast_GCST90018757,Wald ratio,1,0.0118,0.0079,0.137,1.0118,0.9963,1.0276,0.72576,67.9,True
RELT,Breast_GCST90018757,Wald ratio,1,-0.0231,0.0158,0.143,0.9772,0.9474,1.0079,0.72576,79.5,True
SLAMF8,Breast_GCST90018757,Wald ratio,1,0.0326,0.0223,0.143,1.0332,0.9891,1.0792,0.72576,37.4,True
CAPG,Breast_GCST90018757,Wald ratio,1,0.0052,0.0036,0.142,1.0052,0.9983,1.0123,0.72576,480.7,True
SPINK5,Breast_GCST90018757,Wald ratio,1,0.0114,0.0078,0.144,1.0115,0.9961,1.027,0.72576,70.0,True
GGH,Breast_GCST90018757,Inverse variance weighted,2,0.0065,0.0044,0.143,1.0065,0.9978,1.0152,0.72576,65.1,True
ENPP7,Breast_GCST90018757,Wald ratio,1,-0.0055,0.0038,0.146,0.9945,0.9871,1.0019,0.7285544554455444,412.3,True
FAM3D,Breast_GCST90018757,Wald ratio,1,0.015,0.0104,0.149,1.0151,0.9946,1.036,0.7362352941176471,35.2,True
PRR4,Breast_GCST90018757,Inverse variance weighted,2,0.0054,0.0037,0.152,1.0054,0.998,1.0128,0.7437669902912621,254.6,True
CDH23,Breast_GCST90018757,Wald ratio,1,0.0123,0.0088,0.16,1.0124,0.9951,1.03,0.756,36.0,True
FAS,Breast_GCST90018757,Wald ratio,1,-0.0142,0.0103,0.167,0.9859,0.9663,1.0059,0.756,33.5,True
ACVRL1,Breast_GCST90018757,Wald ratio,1,-0.0093,0.0068,0.173,0.9908,0.9777,1.0041,0.756,64.8,True
IFI30,Breast_GCST90018757,Inverse variance weighted,2,0.0103,0.0076,0.174,1.0103,0.9955,1.0254,0.756,75.8,True
SCARF2,Breast_GCST90018757,Wald ratio,1,-0.0175,0.0124,0.16,0.9827,0.9591,1.0069,0.756,32.2,True
PLXNB2,Breast_GCST90018757,Wald ratio,1,-0.0063,0.0046,0.17,0.9937,0.9847,1.0027,0.756,288.7,True
GALNT3,Breast_GCST90018757,Wald ratio,1,-0.0225,0.0164,0.171,0.9778,0.9468,1.0097,0.756,32.9,True
SPINK2,Breast_GCST90018757,Wald ratio,1,-0.0079,0.0058,0.172,0.9921,0.9808,1.0035,0.756,75.8,True
GHR,Breast_GCST90018757,Inverse variance weighted,2,0.0104,0.0076,0.168,1.0105,0.9956,1.0255,0.756,75.9,True
HDDC2,Breast_GCST90018757,Wald ratio,1,0.0091,0.0066,0.173,1.0091,0.996,1.0223,0.756,60.5,True
VNN1,Breast_GCST90018757,Weighted median,4,-0.0039,0.0027,0.156,0.9961,0.9908,1.0015,,212.9,False
PSCA,Breast_GCST90018757,Wald ratio,1,-0.0042,0.003,0.165,0.9958,0.99,1.0017,0.756,1273.9,True
TNFRSF10A,Breast_GCST90018757,Inverse variance weighted,2,0.0105,0.0076,0.167,1.0105,0.9956,1.0257,0.756,66.4,True
FCN2,Breast_GCST90018757,Wald ratio,1,-0.0068,0.0049,0.162,0.9932,0.9837,1.0028,0.756,223.4,True
IL1R2,Breast_GCST90018757,Wald ratio,1,0.0095,0.0071,0.18,1.0096,0.9956,1.0238,0.7688135593220339,91.6,True
RARRES1,Breast_GCST90018757,Wald ratio,1,0.0118,0.0088,0.179,1.0119,0.9946,1.0295,0.7688135593220339,56.0,True
DKK3,Breast_GCST90018757,Wald ratio,1,-0.0112,0.0089,0.21,0.9889,0.9718,1.0063,0.7936119402985075,45.2,True
CLMP,Breast_GCST90018757,Wald ratio,1,0.0121,0.0096,0.211,1.0121,0.9932,1.0315,0.7936119402985075,45.8,True
LTBR,Breast_GCST90018757,Wald ratio,1,-0.0134,0.0103,0.195,0.9867,0.9669,1.0069,0.7936119402985075,41.1,True
SBSN,Breast_GCST90018757,Wald ratio,1,0.0208,0.0165,0.207,1.021,0.9885,1.0545,0.7936119402985075,63.4,True
LRG1,Breast_GCST90018757,Wald ratio,1,-0.0086,0.0067,0.198,0.9914,0.9786,1.0045,0.7936119402985075,265.5,True
CD33,Breast_GCST90018757,Inverse variance weighted,2,-0.0093,0.0072,0.192,0.9907,0.9769,1.0047,0.7936119402985075,547.8,True
CHI3L1,Breast_GCST90018757,Wald ratio,1,-0.0083,0.0066,0.209,0.9917,0.979,1.0047,0.7936119402985075,170.9,True
CDA,Breast_GCST90018757,Inverse variance weighted,2,0.0068,0.0054,0.209,1.0068,0.9962,1.0174,0.7936119402985075,90.0,True
IL1RL1,Breast_GCST90018757,Inverse variance weighted,2,0.0045,0.0034,0.191,1.0045,0.9978,1.0113,0.7936119402985075,196.3,True
LY75,Breast_GCST90018757,Inverse variance weighted,2,-0.0262,0.02,0.191,0.9741,0.9366,1.0132,0.7936119402985075,156.6,True
HS1BP3,Breast_GCST90018757,Wald ratio,1,-0.0113,0.0088,0.203,0.9888,0.9718,1.0061,0.7936119402985075,40.0,True
REG3G,Breast_GCST90018757,Inverse variance weighted,3,0.0074,0.0059,0.208,1.0074,0.9959,1.0191,0.7936119402985075,59.6,True
TLR3,Breast_GCST90018757,Wald ratio,1,0.0045,0.0036,0.206,1.0045,0.9975,1.0116,0.7936119402985075,712.0,True
SMPDL3A,Breast_GCST90018757,Wald ratio,1,-0.0074,0.0058,0.203,0.9926,0.9814,1.004,0.7936119402985075,253.3,True
GPNMB,Breast_GCST90018757,Wald ratio,1,-0.0134,0.0105,0.203,0.9867,0.9666,1.0073,0.7936119402985075,49.5,True
VWC2,Breast_GCST90018757,Wald ratio,1,-0.0119,0.0094,0.207,0.9882,0.9702,1.0066,0.7936119402985075,46.5,True
RBP5,Breast_GCST90018757,Wald ratio,1,-0.0123,0.0101,0.221,0.9878,0.9685,1.0074,0.8028,31.1,True
NFASC,Breast_GCST90018757,Wald ratio,1,-0.0195,0.016,0.223,0.9807,0.9504,1.0119,0.8028,56.7,True
FUCA1,Breast_GCST90018757,Wald ratio,1,0.0133,0.0108,0.217,1.0134,0.9922,1.0351,0.8028,45.8,True
SCGB3A1,Breast_GCST90018757,Wald ratio,1,-0.0175,0.0143,0.22,0.9826,0.9555,1.0105,0.8028,58.2,True
VNN1,Breast_GCST90018757,Inverse variance weighted,4,-0.0029,0.0024,0.225,0.9971,0.9925,1.0018,0.8042553191489362,212.9,True
GIMAP7,Breast_GCST90018757,Wald ratio,1,-0.0093,0.0076,0.223,0.9908,0.9761,1.0056,0.8028,114.2,True
SLURP1,Breast_GCST90018757,Wald ratio,1,-0.0139,0.0113,0.217,0.9862,0.9646,1.0082,0.8028,49.5,True
RET,Breast_GCST90018757,Inverse variance weighted,2,-0.0088,0.0075,0.244,0.9913,0.9768,1.006,0.8256315789473684,35.8,True
SPON1,Breast_GCST90018757,Wald ratio,1,-0.0129,0.0108,0.232,0.9872,0.9665,1.0083,0.82343661971831,34.6,True
SCPEP1,Breast_GCST90018757,Wald ratio,1,-0.0098,0.0084,0.241,0.9902,0.9741,1.0066,0.8256315789473684,37.2,True
CD70,Breast_GCST90018757,Wald ratio,1,-0.0101,0.0087,0.247,0.99,0.9733,1.007,0.8256315789473684,108.1,True
TNN,Breast_GCST90018757,Inverse variance weighted,2,0.0039,0.0034,0.247,1.0039,0.9973,1.0106,0.8256315789473684,230.9,True
PLTP,Breast_GCST90018757,Wald ratio,1,0.0087,0.0074,0.24,1.0087,0.9942,1.0235,0.8256315789473684,60.8,True
CRYGD,Breast_GCST90018757,Inverse variance weighted,3,0.0047,0.004,0.237,1.0047,0.9969,1.0125,0.8256315789473684,161.0,True
REG3G,Breast_GCST90018757,Weighted median,3,0.007,0.0059,0.238,1.007,0.9954,1.0189,,59.6,False
HGFAC,Breast_GCST90018757,Wald ratio,1,0.0255,0.0222,0.249,1.0259,0.9823,1.0714,0.8256315789473684,38.6,True
IDUA,Breast_GCST90018757,Wald ratio,1,0.0083,0.0072,0.249,1.0083,0.9942,1.0226,0.8256315789473684,86.9,True
DNPH1,Breast_GCST90018757,Wald ratio,1,0.0329,0.0287,0.251,1.0335,0.977,1.0933,0.8268235294117647,44.1,True
CCN4,Breast_GCST90018757,Wald ratio,1,-0.0193,0.0163,0.236,0.9808,0.95,1.0127,0.8256315789473684,38.8,True
SCARA5,Breast_GCST90018757,Wald ratio,1,0.015,0.0128,0.241,1.0151,0.99,1.0408,0.8256315789473684,31.2,True
FCRL3,Breast_GCST90018757,Wald ratio,1,0.0043,0.0038,0.257,1.0043,0.9968,1.0119,0.841090909090909,452.8,True
GALNT5,Breast_GCST90018757,Wald ratio,1,0.013,0.0116,0.263,1.0131,0.9903,1.0364,0.8496923076923076,39.5,True
FAM171B,Breast_GCST90018757,Wald ratio,1,0.0129,0.0115,0.262,1.013,0.9904,1.036,0.8496923076923076,64.2,True
NRP1,Breast_GCST90018757,Wald ratio,1,0.0092,0.0091,0.31,1.0092,0.9915,1.0273,0.8632615384615385,62.0,True
SNCG,Breast_GCST90018757,Wald ratio,1,-0.0055,0.0057,0.333,0.9945,0.9835,1.0056,0.8632615384615385,409.9,True
