protein,cancer,method,n_instruments,beta,se,pvalue,FDR,OR,OR_95CI_lower,OR_95CI_upper,F_stat,n_snp_reversed,steiger_direction_consistent,ER_pos_OR,ER_pos_pval,ER_neg_OR,ER_neg_pval,ER_pattern,n_known_drugs,tractability_SM,tractability_AB,top_drug,top_drug_phase
SNX15,Breast_GCST90018757,Wald ratio,1,-0.0866,0.0109,1.51e-15,8.07e-13,0.9171,0.8978,0.9368,36.9,0,TRUE,0.9941,0.581,0.9956,0.623,neither,0,none,none,"",""
EFNA1,Breast_GCST90018757,Wald ratio,1,0.1272,0.0169,6.07e-14,1.29e-11,1.1357,1.0986,1.174,41.5,0,TRUE,1.0106,0.52,1.0292,0.0367,ER_neg_specific,0,none,none,"",""
FGF5,Breast_GCST90018757,Wald ratio,1,-0.0413,0.0055,7.26e-14,1.29e-11,0.9596,0.9492,0.97,152.1,0,TRUE,1.0012,0.822,0.9628,4.49e-17,ER_neg_specific,0,none,none,"",""
UMOD,Breast_GCST90018757,Wald ratio,1,0.0242,0.0048,5.17e-07,6.9e-05,1.0245,1.0149,1.0343,247.9,0,TRUE,1.0024,0.604,1.0648,8.12e-58,ER_neg_specific,0,none,none,"",""
SWAP70,Breast_GCST90018757,Wald ratio,1,0.0434,0.0099,1.13e-05,0.00121,1.0443,1.0243,1.0647,33.5,0,TRUE,1.0126,0.197,1.0351,2.19e-05,ER_neg_specific,0,none,none,"",""
ATRAID,Breast_GCST90018757,Wald ratio,1,-0.0449,0.0105,1.88e-05,0.00167,0.9561,0.9367,0.976,37.2,0,TRUE,0.9853,0.145,1.0324,0.000181,ER_neg_specific,0,none,none,"",""
TNFRSF6B,Breast_GCST90018757,Wald ratio,1,0.0352,0.0083,2.37e-05,0.00181,1.0359,1.0191,1.0529,52.5,0,TRUE,0.9681,6.16e-05,0.984,0.0176,both_subtypes,0,none,none,"",""
ABO,Endometrial_GCST006464,Inverse variance weighted,2,0.0474,0.0103,4.38e-06,0.00306,1.0486,1.0276,1.07,1069.2,0,TRUE,,,,,,0,none,none,"",""
ITIH3,Breast_GCST90018757,Wald ratio,1,-0.0416,0.0103,5.47e-05,0.00325,0.9592,0.9401,0.9788,37.2,0,TRUE,1.0124,0.216,0.9885,0.168,neither,0,none,none,"",""
KLB,Breast_GCST90018757,Inverse variance weighted,2,0.0144,0.0036,4.93e-05,0.00325,1.0145,1.0075,1.0216,198,0,TRUE,1.0019,0.578,0.9998,0.955,neither,3,none,Advanced Clinical,FAZPILODEMAB,PHASE_2
PM20D1,Breast_GCST90018757,Inverse variance weighted,2,0.0126,0.0032,8.79e-05,0.00469,1.0126,1.0063,1.019,185.7,0,TRUE,1.0099,0.0015,1.0104,7.12e-05,both_subtypes,0,none,none,"",""
TSPAN8,Breast_GCST90018757,Wald ratio,1,-0.0348,0.0091,0.000123,0.00599,0.9658,0.9488,0.9831,50.1,0,TRUE,0.9769,0.00803,0.9919,0.27,ER_pos_specific,0,none,none,"",""
FGFR4,Breast_GCST90018757,Wald ratio,1,-0.0122,0.0034,0.000364,0.0162,0.9879,0.9812,0.9945,531,0,TRUE,1.0062,0.0625,0.9997,0.913,neither,17,Approved Drug,none,ORANTINIB,PHASE_3
IL34,Breast_GCST90018757,Inverse variance weighted,2,0.0238,0.0067,0.000397,0.0163,1.0241,1.0107,1.0377,94.8,0,TRUE,1.0146,0.0727,1.0127,0.0216,ER_neg_specific,0,none,none,"",""
APOE,Breast_GCST90018757,Wald ratio,1,0.0173,0.005,0.000568,0.0217,1.0175,1.0075,1.0276,321,0,TRUE,1.0027,0.576,1.0154,0.00018,ER_neg_specific,0,Structure with Ligand,none,"",""
CGREF1,Breast_GCST90018757,Wald ratio,1,0.0265,0.0078,0.000747,0.0266,1.0268,1.0111,1.0427,112.9,0,TRUE,1.0079,0.302,0.987,0.0397,ER_neg_specific,0,none,none,"",""
INHBB,Breast_GCST90018757,Wald ratio,1,0.0253,0.0076,0.000917,0.0306,1.0256,1.0104,1.0411,68.3,0,TRUE,0.9921,0.282,1.023,0.000238,ER_neg_specific,0,none,none,"",""
