protein,cancer_mr,mr_method,mr_nsnp,mr_b,mr_se,mr_pval,mr_or,mr_or_lo,mr_or_hi,mr_fdr,coloc_PPH3_abf,coloc_PPH4_abf,coloc_interpretation_abf,coloc_PPH4_susie,coloc_n_pairs,coloc_PPH4_best,coloc_method_best,coloc_verdict,magma_breast_p,magma_breast_bonf,magma_breast_rank,med_metabolite,med_p_indirect_wm,med_prop_pct,med_supported,er_pattern,or_ERpos,pval_ERpos,or_ERneg,pval_ERneg,steiger_ok,steiger_n_reversed,n_drugs,tractability_SM,tractability_AB,top_drug,top_drug_phase,tier,tier_short
ABO,Endometrial,Inverse variance weighted,2,0.0474410826548186,0.010330631899275,4.38444156490146e-06,1.0485844194911,1.02756614923366,1.07003260628963,0.00268932,0.0373,0.9121,STRONG coloc (ABF only; SuSiE non-convergent — no GWAS credible sets at ABO locus in endometrial GWAS),0.0,0,0.9121,ABF,STRONG,0.239,False,14,,,,,,,,,,,,0,none,none,,,Tier 1 — MR + strong coloc,T1
APOE,Breast,Wald ratio,1,0.0173440170940171,0.0050323931623931,0.00056795116635527,1.01749529789856,1.00750857553095,1.02758101160586,0.020448,0.0166,0.5176,MODERATE coloc (ABF only),0.0,0,0.5176,ABF,MODERATE,0.0038004,False,8,Gly,0.000348,4.3,True,ER_neg_specific,1.0027,0.576,1.0154,0.00018,True,0.0,0,Structure with Ligand,none,,,Tier 2b — MR + moderate coloc,T2b
ATRAID,Breast,Wald ratio,1,-0.0448560109289618,0.010482868852459,1.87749738055168e-05,0.956135144933177,0.936690431552778,0.975983510220022,0.0015792,0.9971,0.0018,STRONG coloc (SuSiE),0.9964,9,0.9964,SuSiE,STRONG,0.072,False,11,TG_by_PG,0.627,1.0,False,ER_neg_specific,0.9853,0.145,1.0324,0.000181,True,0.0,0,none,none,,,Tier 1 — MR + strong coloc,T1
CGREF1,Breast,Wald ratio,1,0.0264524911032028,0.0078453202846975,0.000746910939051221,1.02680546370806,1.01113722557538,1.04271649152346,0.0250992,1.0,0.0,DISTINCT causal variants,0.0419,8,0.0419,SuSiE,DISTINCT,0.19186,False,13,,,,,ER_neg_specific,1.0079,0.302,0.987,0.0397,True,0.0,0,none,none,,,Tier 2c — MR only (coloc not supportive),T2c
EFNA1,Breast,Wald ratio,1,0.127221787709497,0.016947905027933,6.06651867765089e-14,1.13566886724871,1.09856402355759,1.17402695553534,1.21968e-11,0.9011,0.0988,STRONG coloc (SuSiE),0.9633,9,0.9633,SuSiE,STRONG,0.0021046,False,6,Total_BCAA,0.0176,3.1,True,ER_neg_specific,1.0106,0.52,1.0292,0.0367,True,0.0,0,none,none,,,Tier 1 — MR + strong coloc,T1
FGF5,Breast,Wald ratio,1,-0.0412735080058224,0.0055155312954876,7.25659863501866e-14,0.959566644894055,0.94924917465145,0.969996256600724,1.21968e-11,0.0022,0.9978,STRONG coloc (SuSiE),0.9972,4,0.9978,ABF,STRONG,0.08432,False,12,,,,,ER_neg_specific,1.0012,0.822,0.9628,4.49e-17,True,0.0,0,none,none,,,Tier 1 — MR + strong coloc,T1
FGFR4,Breast,Wald ratio,1,-0.0122144660194175,0.0034261941747572,0.000363822264327349,0.987859827776662,0.981248236973594,0.994515967075513,0.015288,0.9956,0.0022,DISTINCT causal variants,0.0102,10,0.0102,SuSiE,DISTINCT,0.38227,False,17,,,,,neither,1.0062,0.0625,0.9997,0.913,True,0.0,17,Approved Drug,none,ORANTINIB,PHASE_3,Tier 2c — MR only (coloc not supportive),T2c
IL34,Breast,Inverse variance weighted,2,0.0238415951804617,0.0067306944371507,0.000396775585020883,1.02412807821777,1.0107063411367,1.03772805008272,0.0153913846153846,0.0782,0.0143,INSUFFICIENT evidence,0.0,0,0.0143,ABF,INSUFFICIENT,0.00025911,False,5,Total_BCAA,0.00135,16.1,True,ER_neg_specific,1.0146,0.0727,1.0127,0.0216,True,0.0,0,none,none,,,Tier 2c — MR only (coloc not supportive),T2c
INHBB,Breast,Wald ratio,1,0.0252862445414847,0.0076282969432314,0.000917101834246261,1.02560865339007,1.01038837084651,1.04105821113848,0.0288854999999999,0.0135,0.287,INSUFFICIENT evidence,0.0,0,0.287,ABF,INSUFFICIENT,0.016806,False,9,,,,,ER_neg_specific,0.9921,0.282,1.023,0.000238,True,0.0,0,none,none,,,Tier 2c — MR only (coloc not supportive),T2c
ITIH3,Breast,Wald ratio,1,-0.0416038123167155,0.010312082111437,5.47250844970811e-05,0.959249748233705,0.940056317522166,0.978835057363177,0.0030632,0.9998,0.0001,DISTINCT causal variants,0.0,1,0.0001,ABF,DISTINCT,3.2755e-05,False,3,Gly,0.0309,2.2,True,neither,1.0124,0.216,0.9885,0.168,True,0.0,0,none,none,,,Tier 2c — MR only (coloc not supportive),T2c
