"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"O6XdMl","MNxqWV","Breast","TNFRSF6B (deCODE)","Wald ratio",1,0.429575842696629,0.101639887640449,2.37407620482874e-05,0.230361662921348,0.62879002247191,1.53660562280651,1.25905528120829,1.87534008655652
"3mKBRb","cxOskU","Breast","IL34 (deCODE)","Wald ratio",1,0.935794117647059,0.640970588235294,0.144299910824474,-0.320508235294118,2.19209647058823,2.54923704827476,0.725780076271653,8.95396517589747
"4YrCBI","n6Tymx","Breast","ITIH3 (deCODE)","Wald ratio",1,-0.029305487804878,0.00713274390243902,3.9808991530108e-05,-0.0432856658536585,-0.0153253097560976,0.971119753906289,0.957637786573506,0.984791525198053
"rWhQCI","AFLW6b","Breast","SWAP70 (deCODE)","Wald ratio",1,-0.0365519035232916,0.00839073066918893,1.32325274647063e-05,-0.0529977356349019,-0.0201060714116812,0.964108051992927,0.94838215996333,0.980094707763733
"J9zvu4","blPtFl","Breast","INHBB (deCODE)","Wald ratio",1,0.117782958199357,0.29826077170418,0.692917235725232,-0.466808154340836,0.70237407073955,1.12499991286085,0.627000366173361,2.01853917831203
"eZ7Zru","tm1PKW","Breast","FGF5 (deCODE)","Wald ratio",1,-13.50233,1.804367,7.256599e-14,-17.03889,-9.965775,1.367764e-06,3.982018e-08,4.698065e-05
"FrS02v","aZkPnA","Breast","UMOD (deCODE)","Wald ratio",1,-53.77875,10.71327,5.171897e-07,-74.77677,-32.78073,4.407432e-24,3.348589e-33,5.801087e-15
"rRXEbn","NSYMp3","Breast","APOE (deCODE)","Wald ratio",1,0.09107944,0.02642684,0.0005679512,0.03928284,0.1428761,1.095356,1.040065,1.153587
"pJy4hR","pwldjT","Breast","KLB (deCODE)","Inverse variance weighted",2,0.02065292,0.005093133,5.012299e-05,0.01067038,0.03063546,1.020868,1.010728,1.03111
"Z1Bvv4","BR0UL8","Breast","FGFR4 (deCODE)","Wald ratio",1,-125.809,35.2898,0.0003638223,-194.977,-56.64099,2.300623e-55,2.101655e-85,2.518429e-25
"zJmT9V","o3LrZu","Breast","INHBB_Activin_B","Wald ratio",1,2.632068,0.7940364,0.0009171018,1.075757,4.188379,13.90249,2.932211,65.91588
"vYuvC4","MnFOSV","Breast","CGREF1 (deCODE)","Harmonization Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA
